month_id,gdp_household,gdp_gov,gdp_capital,gdp_exports,gdp_imports,gdp_se,gdp_total
2008-09,1874840.31464,258554.075823641,400907.24837895174,706051.4099282706,724753.1189988517,-24404.290147182066,2491195.6396248294
2008-12,2138751.9473121096,232026.49070179425,572370.1189974834,569643.2418820368,744118.6606735141,14402.118803536054,2783075.2570234463
2009-03,1850946.0192299997,273082.446059157,332148.0030074294,618356.627696402,641907.3864689781,-12275.652233457193,2420350.057290553
2009-06,1988000.9689499994,328675.52285186,447441.54705533665,636371.6484287409,759579.0392131545,11340.839017323218,2652251.4870901057
2009-09,1889866.7198599996,290351.160634474,359092.32331731997,659396.8729995306,680922.8158568633,-3473.4579687714577,2514310.8029856896
2009-12,2201564.8797484813,265495.09074140346,567684.9718471903,539808.8945143062,746241.4383713151,4408.27118491102,2832720.6696649776
2010-03,1929591.68584,332185.986254684,411846.08197816106,748693.1110472968,792706.37712569,-12719.563977107871,2616890.924017344
2010-06,2030708.38561,353661.506278475,607372.9604509411,782873.1501068873,918586.73963893,7737.33331124112,2863766.596118615
2010-09,1939923.1560899997,271833.514749611,516451.6210588832,784806.4942955953,819057.1021670314,-1906.1444034934975,2692051.539623564
2010-12,2314840.05205287,248236.1093588687,690450.1684531312,635899.6141608004,885162.3823134357,6888.375069359317,3011151.9367815936
2011-03,2021322.0667599998,282309.964648582,542057.7479250917,775297.0991820426,883200.4143098152,5422.2339384090155,2743208.69814431
2011-06,2129048.8328999993,378231.340423942,502595.51401537535,832495.9314321314,897317.4882805141,20671.852191151585,2965725.982682085
2011-09,2070680.99016,298731.486006831,505978.11153894593,706487.75330673,781806.1123524356,-26295.975443808362,2773776.253216263
2011-12,2450122.7291765,269627.682721775,618973.0459321999,614938.3999366901,821214.2882348392,201.8893142491579,3132649.4588465746
2012-03,2168389.9861999997,352314.597014514,471104.5233127352,773802.1779463195,854460.9691719756,-2251.2351134191267,2908899.0801881733
2012-06,2273111.74564,417494.873055744,554814.1714410094,876850.5528952347,995448.1269036315,23351.228113720194,3150174.444242076
2012-09,2212882.7719699997,345576.296995419,546994.8100984668,724908.7413470249,845783.2371950188,-5557.1102903215215,2979022.2729255706
2012-12,2606340.6985806385,303854.60018960806,714421.4629840623,685689.9968243921,916393.4830285788,-15542.882709976286,3378370.392840146
2013-03,2291102.57109,377579.666651596,615197.9029618304,750065.2078712003,884242.2259205359,-19927.572569230106,3129775.5500848615
2013-06,2390956.0056300005,456069.569063546,661456.6733828037,884280.5625369861,1004059.4324730766,-1874.407884160988,3386828.9702560985
2013-09,2355858.0457100007,360321.614963146,671810.2877478558,775366.5575146584,990484.5894121297,6011.812514225487,3178883.7290377566
2013-12,2761690.4771083985,295382.0915842721,760718.0411731617,711956.2641479864,986381.6643917788,15790.167939168867,3559155.377561209
2014-03,2441152.9069999997,391488.139055023,662869.3108889211,865649.0621211897,1030753.544628754,-22269.85517801065,3308136.019258368
2014-06,2530825.20261,464650.878166861,719528.7986987432,949252.3428266367,1058553.8192528016,16052.48297731718,3621755.886026757
2014-09,2479538.89182,357840.400829889,705254.2509263051,895291.1852819761,1076146.771095554,5775.498476683162,3367553.456239299
2014-12,2914943.9787625987,329361.14412313653,845796.1102323423,790355.8990019469,1082297.6221401,441.87372400891036,3798601.383703933
2015-03,2591280.2775600003,392957.491634369,714675.2047079267,967195.4241311196,1170119.456162821,-14192.472045430448,3481796.4698251644
2015-06,2695932.8371400004,476326.537151865,826153.4824451894,1025607.4894018854,1199382.3712350626,28866.032192792743,3853504.0070966706
2015-09,2636265.7722400003,414449.519781533,802818.0483691867,981215.7898651601,1232967.75856973,-12393.691156516783,3589387.680529634
2015-12,3111056.185268197,381728.45239326975,983109.6646124499,875429.561121434,1282824.7014268262,-2279.8689908459783,4066219.2929776786
2016-03,2777972.46887,443226.021761361,861763.877561108,1051562.8160501095,1397852.3590992915,-13984.544119189959,3722688.281024097
2016-06,2898169.05237,545075.957212584,1034695.0075795201,1128328.726308553,1491630.9853808642,25548.240748809185,4140185.9988386026
2016-09,2828137.05332,430952.705638165,968213.3104236082,1060860.3761036128,1412587.1509311777,-23093.633294043597,3852482.661260165
2016-12,3319182.5508380737,402112.476923594,1153702.5593099971,963094.126093145,1502302.6959822373,11529.93666442763,4347318.953847
2017-03,2943489.7595499996,433777.332417451,1007110.2247186394,1181384.3385103107,1592602.3274442726,-13181.95808999287,3959977.369662135
2017-06,3073414.482960001,583654.316290147,1132601.9317570548,1307500.2189260838,1685048.9347193968,25209.247131500393,4437331.26234539
2017-09,2983444.9798899996,464841.289485118,1066586.1583224707,1304852.4972061142,1638292.1355922911,-38796.68321965914,4142636.1060917517
2017-12,3527478.815360481,457606.799610121,1250029.3482845188,1141653.0784385595,1767504.0878995173,26769.394178165123,4636033.347972328
2018-03,3114801.4053800004,494233.44901909,1042613.6123398365,1334774.179825415,1750367.5540852356,-20478.611132584512,4215576.4813465215
2018-06,3263873.0109000006,655487.550475969,1305208.0473550793,1454286.0823304504,1997855.3232240165,39384.59875271097,4720383.966590194
2018-09,3148718.0964500005,531757.089316196,1246249.8124737688,1435135.9604752955,1933519.9672814843,-31099.666285136715,4397241.325148641
2018-12,3722691.918490966,518159.25754195964,1365033.9939760864,1294376.2826610983,1980466.6462587276,12193.678665008396,4931988.48507639
2019-03,3308747.8725888114,523615.334739615,1130741.283512713,1392609.7470408028,1907419.098798086,14890.78153885901,4463185.920622715
2019-06,3445707.9900737256,697011.3102866437,1297366.5931682494,1513730.5130254263,2001894.204988076,34002.17786871269,4985924.379434682
2019-09,3337241.0816372684,575719.1051034706,1237959.3558950308,1457178.3037552214,1933643.8141965102,1090.173022231087,4675544.205216713
2019-12,3935758.6177309696,603521.6936804422,1466281.9344291748,1300524.4656810896,1998007.4729427341,-49983.13242980465,5258096.106149137
2020-03,3314612.132012443,560059.9159057743,991934.1174767608,1342199.6006125915,1769934.7588123144,-5065.519811250269,4433805.4873840045
